,name,country,property_type,price,room_type,bedrooms,beds,accommodates,cancellation_policy,number_of_reviews,minimum_nights,extra_people,maximum_nights,guests_include,review_scores_cleanliness,last_scraped,host_name,host_listings_count,calendar_last_scraped,availability_365,latitude,longitude
797,3 Bedroom / Ocean views / Free Parking - Waikiki,United States,Apartment,449.00,Entire home/apt,3.0,6.0,8,strict_14_with_grace_period,31,1,0.00,1125,1,9.0,2019-03-06,Mark,16,2019-03-06,152,-157.82805,21.27983
798,2 Outdoor Pools | Tennis Court | Near the Beach,United States,Resort,130.00,Private room,0.0,1.0,2,strict_14_with_grace_period,75,2,0.00,1125,1,10.0,2019-03-06,ResortShare1,106,2019-03-06,324,-159.47242,22.21905
799,Tropical Stay near the Beach ★ 2 Bedroom,United States,Condominium,230.00,Entire home/apt,2.0,3.0,6,strict_14_with_grace_period,20,2,0.00,1125,1,10.0,2019-03-06,ResortShare1,106,2019-03-06,287,-159.47223,22.22053
800,Luxurious Tropical Beach Front Home in Lahaina,United States,House,935.00,Entire home/apt,3.0,3.0,6,super_strict_60,1,5,0.00,1125,1,10.0,2019-03-06,"Whalers Investment Group,",33,2019-03-06,96,-156.68398,20.88064
801,Gorgeous Apartment with Balcony & Terrace,United States,Condominium,200.00,Entire home/apt,1.0,1.0,2,strict_14_with_grace_period,7,5,50.00,1125,2,9.0,2019-03-07,Eytan,1,2019-03-07,10,-73.94124,40.71677
802,Spacious double room with balcony,Spain,Apartment,69.00,Private room,1.0,1.0,2,strict_14_with_grace_period,15,2,0.00,6,1,10.0,2019-03-08,Yohan And,1,2019-03-08,0,2.17533,41.39454
803,"Apt 2 quartos e 3 banheiros, sofa cama na sala.",Brazil,Apartment,298.00,Entire home/apt,2.0,4.0,5,flexible,1,1,0.00,1125,1,10.0,2019-02-11,Carlos Alberto,1,2019-02-11,360,-43.47269480400845,-23.01598925251148
804,Privately Gated Oceanfront Estate,United States,House,799.00,Entire home/apt,2.0,2.0,6,strict_14_with_grace_period,27,3,100.00,1125,4,9.0,2019-03-06,Kristine,2,2019-03-06,302,-156.50643,20.79652
805,Charming Bedroom in East Village,United States,Apartment,100.00,Private room,1.0,1.0,1,flexible,4,5,0.00,20,1,10.0,2019-03-06,Emily Rose,1,2019-03-06,0,-73.98688,40.73226
806,OCEAN FRONT KA'ANAPALI DREAM GETAWAY,United States,Condominium,595.00,Entire home/apt,1.0,2.0,4,strict_14_with_grace_period,0,7,0.00,7,1,0.0,2019-03-06,Bobby,1,2019-03-06,216,-156.68985,20.93787
807,DOUBLE ROOM (1 or 2 people),Spain,Apartment,27.00,Private room,1.0,1.0,2,strict_14_with_grace_period,128,31,0.00,180,1,9.0,2019-03-08,Nahuel,1,2019-03-08,90,2.12421,41.3784
808,Sunny appartment on the Plateau,Canada,Apartment,79.00,Private room,1.0,1.0,2,strict_14_with_grace_period,81,5,25.00,61,1,9.0,2019-03-11,Sabrina,1,2019-03-11,221,-73.5671,45.53713
809,Quarto amplo em Copacabana. Rio 2016,Brazil,Hostel,131.00,Private room,1.0,2.0,4,strict_14_with_grace_period,0,1,44.00,1125,1,0.0,2019-02-11,Maria,4,2019-02-11,72,-43.18884440627417,-22.96870936391744
810,Oba Hotel istanbul Quadruple Room,Turkey,Boutique hotel,1186.00,Private room,1.0,3.0,4,strict_14_with_grace_period,1,1,0.00,1125,1,8.0,2019-02-18,Ayhan,4,2019-02-18,364,28.97082,41.00611
811,Call it Home.,United States,Apartment,38.00,Private room,1.0,2.0,2,strict_14_with_grace_period,8,15,25.00,90,1,10.0,2019-03-07,Mimie,3,2019-03-07,90,-73.9016,40.83796
812,Cool and Cosy Rooms in Kadikoy,Turkey,Apartment,63.00,Private room,1.0,2.0,2,moderate,1,60,50.00,600,1,6.0,2019-02-18,Sinan,1,2019-02-18,365,29.0266,40.99062
813,Manly Harbour House,Australia,House,471.00,Entire home/apt,3.0,3.0,6,strict_14_with_grace_period,2,5,40.00,22,6,8.0,2019-03-07,Heidi,2,2019-03-07,48,151.26172,-33.80093
814,Charm apartment 10' walk from city center,Portugal,Apartment,39.00,Entire home/apt,1.0,2.0,4,moderate,110,2,7.00,28,2,9.0,2019-02-16,Manuela,1,2019-02-16,175,-8.6022,41.16098
815,Stunning Queen bedroom with Balcony,Australia,Apartment,100.00,Private room,1.0,1.0,2,moderate,2,4,20.00,1125,1,10.0,2019-03-07,Lucy,4,2019-03-07,0,151.28483,-33.88969
816,"Cute Condo in Mile-End, sleeps 2",Canada,Apartment,70.00,Entire home/apt,1.0,1.0,2,moderate,8,3,0.00,21,1,10.0,2019-03-11,Beatrice,1,2019-03-11,0,-73.59681,45.52683
817,Cozy Apartment near Charley Young Beach in Kihei,United States,Apartment,229.00,Entire home/apt,1.0,1.0,2,strict_14_with_grace_period,86,1,15.00,14,2,10.0,2019-03-06,Thomas,10,2019-03-06,282,-156.45098,20.72891
818,Historic Home Retreat,United States,House,249.00,Entire home/apt,3.0,3.0,6,moderate,24,4,50.00,45,6,9.0,2019-03-06,Stanton,1,2019-03-06,202,-157.81156,21.32606
819,A place just in the heart of beşiktaş.,Turkey,Apartment,74.00,Private room,1.0,1.0,2,flexible,7,1,20.00,1125,1,8.0,2019-02-18,Aytac,2,2019-02-18,364,29.00314,41.04429
820,Unit 414 Luxurious Top Floor Condo Great Views,United States,Apartment,385.00,Entire home/apt,2.0,3.0,4,super_strict_60,11,7,0.00,1123,1,9.0,2019-03-06,Kathy,24,2019-03-06,243,-156.50456,20.79559
821,Quartos para Olimpiadas em Copacabana,Brazil,Apartment,298.00,Private room,1.0,2.0,3,flexible,1,1,70.00,1125,1,0.0,2019-02-11,Guilherme,1,2019-02-11,0,-43.176812676695214,-22.964460533574528
822,TOP ROOM,Turkey,Apartment,179.00,Private room,1.0,3.0,3,flexible,0,1,0.00,24,1,0.0,2019-02-18,Murat,7,2019-02-18,364,28.96902,41.00429
823,"Stone House 2, com terraço e Wi-Fi",Portugal,Apartment,85.00,Entire home/apt,2.0,7.0,8,moderate,61,3,12.00,60,3,10.0,2019-02-16,Jose,2,2019-02-16,247,-8.60756,41.15633
824,Sunny Private bedroom in Bushwick!,United States,Apartment,40.00,Private room,1.0,1.0,2,strict_14_with_grace_period,89,3,35.00,1125,1,10.0,2019-03-07,Ruben,2,2019-03-07,52,-73.91298,40.69494
825,Spacious room in a nice apartment metro Sherbrooke,Canada,Apartment,154.00,Private room,1.0,1.0,2,flexible,4,2,0.00,5,1,10.0,2019-03-11,Samuel,1,2019-03-11,0,-73.56642,45.51989
826,100m2 apartment close to the beach,Brazil,Apartment,250.00,Entire home/apt,3.0,3.0,6,strict_14_with_grace_period,10,5,50.00,1125,6,8.0,2019-02-11,Mayra,3,2019-02-11,339,-43.17195520840645,-22.96129306836511
827,Habitacion Cama Doble  en Vila Olimpica .,Spain,Apartment,29.00,Private room,1.0,1.0,1,strict_14_with_grace_period,18,1,10.00,90,1,8.0,2019-03-08,Katia Núñez Herrera,2,2019-03-08,0,2.18951,41.3918
828,"Luxurious, bright, spacious Plaza Catalunya",Spain,Apartment,200.00,Entire home/apt,3.0,0.0,6,strict_14_with_grace_period,72,3,0.00,150,1,10.0,2019-03-08,Tendency,70,2019-03-08,179,2.16589,41.39002
829,Chambre Berri UQAM village,Canada,Apartment,32.00,Private room,1.0,1.0,2,strict_14_with_grace_period,4,1,0.00,1125,1,10.0,2019-03-11,Auré,1,2019-03-11,202,-73.5571,45.51725
830,Trendy Bright Loft in The Plateau,Canada,Loft,75.00,Entire home/apt,0.0,2.0,4,strict_14_with_grace_period,1,7,0.00,120,2,0.0,2019-03-11,Colvin,1,2019-03-11,0,-73.57646,45.53347
831,Cosy room in the Born district,Spain,Apartment,24.00,Private room,1.0,1.0,2,moderate,25,2,10.00,7,1,10.0,2019-03-08,Anne-Sophie,1,2019-03-08,66,2.18177,41.38667
832,HOUSE WITH GARDEN AND SWIMMING-POOL,Portugal,Cottage,80.00,Entire home/apt,3.0,3.0,6,strict_14_with_grace_period,22,3,0.00,30,1,10.0,2019-02-16,Tiago,1,2019-02-16,336,-8.3692,40.86455
833,LINDO CONJUGADO PARA TEMPORADA,Brazil,Apartment,201.00,Entire home/apt,0.0,1.0,2,flexible,0,2,0.00,1125,1,0.0,2019-02-11,Marcia,2,2019-02-11,0,-43.18832054700163,-22.96894327038813
834,RE.. BIG AND CLASSIC 2 BEDROOM IN ARPOADOR,Brazil,Apartment,261.00,Entire home/apt,2.0,3.0,8,strict_14_with_grace_period,6,3,60.00,1000,4,8.0,2019-02-11,Ana,12,2019-02-11,310,-43.19096674991071,-22.985821676488733
835,Copacabana 1 AN,Brazil,Apartment,261.00,Entire home/apt,1.0,3.0,5,strict_14_with_grace_period,0,3,0.00,1125,1,0.0,2019-02-11,Jules Rimet,45,2019-02-11,358,-43.19298564538373,-22.97626728937996
836,Spacious Sunny SoHo-Awesome Locale!,United States,Apartment,299.00,Entire home/apt,2.0,2.0,3,strict_14_with_grace_period,26,2,0.00,1125,1,8.0,2019-03-07,Steven,1,2019-03-07,88,-73.99419,40.7245
837,SUPERHOST-LARGE&CLEAN-Near Pierloti,Turkey,Apartment,74.00,Private room,1.0,3.0,3,strict_14_with_grace_period,99,2,42.00,1125,1,9.0,2019-02-18,Kubilay,2,2019-02-18,350,28.91629,41.06038
838,"Cozy 4 beds, Free Ferry to Manhattan.",United States,Apartment,125.00,Entire home/apt,1.0,4.0,5,strict_14_with_grace_period,88,2,30.00,25,4,9.0,2019-03-07,Eddie & Lois,4,2019-03-07,226,-74.11311,40.63333
839,Yoga Apartment next to La Guardia and Manhattan,United States,Apartment,40.00,Private room,1.0,1.0,2,strict_14_with_grace_period,76,1,15.00,1125,1,10.0,2019-03-07,Ursula,2,2019-03-07,152,-73.87804,40.75533
840,OCEAN/LAGOON/FIREWORK VIEWS 2Bdrm Ilikai 1418,United States,Condominium,528.00,Entire home/apt,2.0,3.0,6,strict_14_with_grace_period,5,4,0.00,1124,1,10.0,2019-03-06,Hawaii Vacation Properties Llc,59,2019-03-06,234,-157.83915,21.28506
841,Boqueria - Cosy studio in Born,Spain,Serviced apartment,76.00,Entire home/apt,1.0,2.0,2,strict_14_with_grace_period,1,32,0.00,200,1,10.0,2019-03-08,Leyre,33,2019-03-08,363,2.18198,41.38189
842,"SUPERB FLAT ,30 sec from metro, close to downtown",Canada,Apartment,81.00,Private room,1.0,1.0,2,moderate,1,1,50.00,1125,1,10.0,2019-03-11,Anne,1,2019-03-11,364,-73.57064,45.45702
843,Swimming Pool/ Amazing Layout W&D Doorman 5131,United States,Apartment,330.00,Entire home/apt,2.0,2.0,5,strict_14_with_grace_period,1,30,0.00,1125,1,10.0,2019-03-07,Jeremy & Laura,102,2019-03-07,365,-73.96586,40.79377
844,Heart of Harlem Living - NYC to it's fullest!,United States,Apartment,140.00,Entire home/apt,1.0,1.0,4,moderate,25,1,0.00,30,2,10.0,2019-03-07,Pascal,2,2019-03-07,154,-73.93702,40.80758
845,Céntrica Habitación,Spain,Apartment,20.00,Private room,1.0,1.0,1,flexible,6,1,0.00,1125,1,9.0,2019-03-08,Ana,2,2019-03-08,0,2.1823,41.40208
846,Loft au centre-ville de Montréal,Canada,Loft,125.00,Entire home/apt,0.0,2.0,2,flexible,27,3,15.00,1125,1,10.0,2019-03-11,Yves,1,2019-03-11,0,-73.563,45.51406
847,Private Room Couch close to Central Park,United States,Apartment,40.00,Private room,1.0,0.0,1,flexible,12,1,0.00,14,1,9.0,2019-03-07,Doe2930,1,2019-03-07,76,-73.93955,40.79281
848,Central Room in Mecidiyekoy Subway,Turkey,Apartment,295.00,Private room,1.0,1.0,1,flexible,0,1,0.00,1125,1,0.0,2019-02-18,Nur,1,2019-02-18,363,28.99425,41.06931
849,良德街3号温馨住宅,Hong Kong,Condominium,11681.00,Shared room,1.0,5.0,5,flexible,1,1,0.00,1125,1,0.0,2019-03-11,Pllumbaj,1,2019-03-11,0,114.10809,22.39939
850,Private Rm/Location/Rooftop terrace,Canada,Apartment,114.00,Entire home/apt,2.0,2.0,2,strict_14_with_grace_period,18,3,20.00,1125,1,10.0,2019-03-11,Raed,1,2019-03-11,131,-73.57004,45.50835
851,Kit net Gracinha in Copa,Brazil,Apartment,179.00,Entire home/apt,1.0,1.0,2,flexible,14,2,90.00,1125,2,9.0,2019-02-11,Bianca,1,2019-02-11,91,-43.18708515155298,-22.97103230094075
852,Bushwick Suite,United States,Apartment,75.00,Private room,1.0,1.0,2,moderate,6,1,25.00,1125,1,10.0,2019-03-07,Dee,2,2019-03-07,34,-73.92084,40.68891
853,Cozy minimalist room close to train (1),United States,House,33.00,Private room,1.0,1.0,2,strict_14_with_grace_period,92,3,25.00,1125,1,10.0,2019-03-07,Silvia,9,2019-03-07,299,-73.89039,40.67539
854,"Modern and Safe Place,Free Wifi",United States,Apartment,400.00,Private room,1.0,1.0,2,flexible,0,4,0.00,1125,1,0.0,2019-03-07,Elliot,1,2019-03-07,365,-73.75184,40.70052
855,Beautiful apartment by Pl Catalunya,Spain,Apartment,130.00,Entire home/apt,1.0,1.0,5,strict_14_with_grace_period,397,2,15.00,1124,3,9.0,2019-03-08,Koni,5,2019-03-08,237,2.17532,41.38977
856,Nice condo close to the subway,Canada,Apartment,89.00,Entire home/apt,2.0,2.0,4,moderate,37,4,8.00,1125,2,10.0,2019-03-11,Jason,1,2019-03-11,53,-73.649,45.55174
857,Oporto beach duplex,Portugal,Apartment,135.00,Entire home/apt,3.0,4.0,6,strict_14_with_grace_period,14,2,10.00,180,6,10.0,2019-02-16,Tiago,1,2019-02-16,365,-8.65416,41.08439
858,"Just Remodeled Studio Condo, Modern, Clean--View!",United States,Aparthotel,109.00,Private room,1.0,1.0,2,moderate,116,2,0.00,60,1,10.0,2019-03-06,Larry,10,2019-03-06,320,-157.83321,21.28583
859,Stylish & Sunny Shared Studio Flat,Hong Kong,Apartment,369.00,Shared room,1.0,1.0,1,moderate,2,2,180.00,31,2,10.0,2019-03-11,Saul,1,2019-03-11,0,114.20927,22.28857
860,"Studio 1 Q Leblon, Promo de verão! Ponto SHOW!",Brazil,Apartment,157.00,Entire home/apt,1.0,2.0,4,moderate,56,3,40.00,30,4,9.0,2019-02-11,Nilza,3,2019-02-11,57,-43.22308649148793,-22.978314631267907
861,ORM - Cativo Apartment,Portugal,Apartment,40.00,Entire home/apt,1.0,1.0,4,strict_14_with_grace_period,116,2,20.00,1125,2,9.0,2019-02-16,Oporto Rental Management,35,2019-02-16,330,-8.60858,41.1453
862,Spacious and Clean Get Away,United States,House,275.00,Entire home/apt,4.0,6.0,10,strict_14_with_grace_period,18,4,0.00,1125,1,10.0,2019-03-07,Maria,1,2019-03-07,106,-74.08174,40.59116
863,Barra - CIDADE JARDIM - Parque Olímpico,Brazil,Apartment,250.00,Entire home/apt,2.0,3.0,4,strict_14_with_grace_period,4,2,50.00,1125,2,10.0,2019-02-11,Carla,1,2019-02-11,344,-43.387066303153254,-22.96644661942321
864,Casa Inteira Rio de Janeiro,Brazil,Apartment,75.00,Entire home/apt,2.0,1.0,2,flexible,4,1,0.00,1125,1,10.0,2019-02-11,Taís,1,2019-02-11,0,-43.31241696422418,-22.8437129575907
865,Room on spacious appartment,Portugal,Apartment,9.00,Private room,1.0,1.0,1,flexible,2,30,0.00,270,1,10.0,2019-02-16,Catarina,1,2019-02-16,301,-8.557,41.14586
866,Luxury 3-Acre Garden Eco-Estate 10 min to Kona,United States,House,329.00,Entire home/apt,3.0,4.0,6,strict_14_with_grace_period,16,4,50.00,1125,6,10.0,2019-03-06,Mark,2,2019-03-06,262,-155.97224,19.70353
867,"A cozy and safe house in İstanbul,Sancaktepe",Turkey,House,148.00,Private room,1.0,1.0,2,flexible,0,1,0.00,1125,1,0.0,2019-02-18,Tuba,1,2019-02-18,363,29.19203,41.00363
868,Avarandado Souza Lima,Brazil,Apartment,369.00,Entire home/apt,2.0,8.0,8,strict_14_with_grace_period,3,4,30.00,20,8,9.0,2019-02-11,Fernanda,3,2019-02-11,356,-43.19398459651786,-22.98203185975016
869,The beauty of New York start here.,United States,House,110.00,Private room,1.0,1.0,2,strict_14_with_grace_period,4,2,52.00,8,1,10.0,2019-03-06,Mimie,3,2019-03-06,0,-73.94625,40.80677
870,SM71 - 1 minute from beach - 2-bedroom - balcony,Spain,Apartment,38.00,Entire home/apt,2.0,2.0,3,strict_14_with_grace_period,1,32,0.00,1125,3,10.0,2019-03-08,Jirka,11,2019-03-08,314,2.19006,41.37787
871,MODERN PENTHOUSE ROOM/BALCONY AMAZING LOCATION :),United States,Apartment,90.00,Private room,1.0,1.0,2,strict_14_with_grace_period,28,2,40.00,1125,1,9.0,2019-03-06,Bella,1,2019-03-06,0,-73.95095,40.71354
872,My Home in OPorto,Portugal,Apartment,55.00,Entire home/apt,1.0,2.0,2,strict_14_with_grace_period,5,2,20.00,1125,2,8.0,2019-02-16,Flavia,1,2019-02-16,300,-8.61602,41.26027
873,Large Bedroom in Bushwick,United States,Apartment,65.00,Private room,1.0,1.0,2,moderate,0,3,0.00,20,1,0.0,2019-03-06,Tetyana,1,2019-03-06,0,-73.92964,40.696
874,MECİDİYEKÖY(ŞİŞLİ) RENTED ROOM,Turkey,Apartment,749.00,Private room,1.0,1.0,1,flexible,0,1,0.00,1125,1,0.0,2019-02-18,Emre,1,2019-02-18,365,29.0,41.07197
875,Artist Loft Bushwick,United States,Loft,70.00,Private room,1.0,1.0,2,strict_14_with_grace_period,78,2,20.00,29,1,9.0,2019-03-07,Benny,3,2019-03-07,54,-73.92351,40.70087
876,Alugo Quarto Para Temporada de Olimpiadas,Brazil,Apartment,798.00,Private room,1.0,2.0,2,flexible,0,1,0.00,1125,1,0.0,2019-02-11,Bia,1,2019-02-11,365,-43.19207316019323,-22.94964100270776
877,Vintage paradise,Canada,Apartment,64.00,Entire home/apt,1.0,1.0,2,flexible,16,2,0.00,14,1,9.0,2019-03-11,Laurence,1,2019-03-11,220,-73.59448,45.54477
878,Private room in Sunnyside Gardens,United States,Apartment,98.00,Private room,1.0,1.0,1,strict_14_with_grace_period,1,2,0.00,15,1,10.0,2019-03-07,Josefina,1,2019-03-07,88,-73.91704,40.74615
879,Perfect double room with private bathroom ! !,Spain,Apartment,50.00,Private room,1.0,1.0,2,moderate,66,1,0.00,10,1,9.0,2019-03-08,Esther,3,2019-03-08,74,2.15988,41.3767
880,Waikoloa Beach Villas H32,United States,Villa,184.00,Entire home/apt,2.0,2.0,4,super_strict_60,0,1,0.00,1125,1,0.0,2019-03-06,Alice,42,2019-03-06,146,-155.87972,19.91589
881,LUXICO - Principino,Australia,House,1105.00,Entire home/apt,4.0,5.0,8,strict_14_with_grace_period,0,7,0.00,180,1,0.0,2019-03-07,Luxico Holiday Homes,130,2019-03-07,192,151.24345,-33.83772
882,Casa em Condomínio prox a Recreio dos Bandeirantes,Brazil,House,500.00,Entire home/apt,2.0,3.0,6,flexible,0,5,0.00,15,1,0.0,2019-02-11,Andréa,1,2019-02-11,362,-43.551624934367986,-22.9904451673837
883,Huge rm in 1500sq ft loft w/lots,United States,Apartment,125.00,Private room,1.0,1.0,2,flexible,1,1,0.00,1125,1,6.0,2019-03-07,Daren,1,2019-03-07,358,-73.99154,40.71862
884,Bondi-Tamarama BEACHFRONT Apartment,Australia,Apartment,390.00,Entire home/apt,3.0,3.0,6,strict_14_with_grace_period,139,2,0.00,1125,1,10.0,2019-03-07,Wayne & Kate,2,2019-03-07,295,151.26412,-33.90304
885,Spacious 3BR Duplex Apt + Loft in Gramercy NYC,United States,Loft,300.00,Entire home/apt,3.0,4.0,4,strict_14_with_grace_period,10,3,0.00,1125,1,8.0,2019-03-07,Justin,1,2019-03-07,4,-73.98443,40.73815
886,Studio + Terrace @ Historic Centre!,Portugal,Apartment,89.00,Entire home/apt,0.0,1.0,4,moderate,280,3,10.00,1124,2,10.0,2019-02-16,Raul,5,2019-02-16,309,-8.61834,41.14425
887,Apartamento familiar a estrenar,Spain,Apartment,100.00,Entire home/apt,3.0,4.0,5,moderate,38,3,50.00,1125,2,10.0,2019-03-08,Nuria,1,2019-03-08,343,2.17648,41.41089
888,Terrace Appartment,Portugal,Apartment,42.00,Entire home/apt,2.0,4.0,6,flexible,39,2,10.00,1125,2,10.0,2019-02-16,Alexandra,1,2019-02-16,361,-8.60207,41.16033
889,Oceanfront Beach House Makai,United States,House,590.00,Entire home/apt,3.0,4.0,6,strict_14_with_grace_period,6,3,0.00,1125,6,10.0,2019-03-06,Chaney,4,2019-03-06,333,-158.0201,21.69442
890,"Doorman, modern apart. on Broadway (Central Park)",United States,Apartment,180.00,Entire home/apt,0.0,1.0,2,strict_14_with_grace_period,2,7,0.00,19,1,10.0,2019-03-06,S.,1,2019-03-06,0,-73.97132,40.79501
891,Villa 3 chambres a 5 min de l aéroport de Porto,Portugal,Villa,50.00,Entire home/apt,3.0,3.0,6,flexible,0,5,0.00,1125,1,0.0,2019-02-16,Celia,1,2019-02-16,364,-8.66031,41.23035
892,Charming apartment in Plateau Mont Royal,Canada,Apartment,75.00,Entire home/apt,2.0,2.0,4,moderate,12,2,10.00,30,2,9.0,2019-03-11,Emilie,1,2019-03-11,0,-73.59285,45.52707
893,纽约之家(SunnyHome3),United States,Townhouse,50.00,Private room,1.0,1.0,2,moderate,51,1,0.00,1125,1,9.0,2019-03-07,Amy,8,2019-03-07,90,-73.83298,40.7459
894,BEST AREA IN CHELSEA. MODERN. COMPACT. HIGH LINE!!,United States,Apartment,90.00,Entire home/apt,1.0,1.0,2,strict_14_with_grace_period,64,1,55.00,1125,1,10.0,2019-03-07,Gina,2,2019-03-07,231,-73.99898,40.75005
895,2BR Sunlight & Secret Garden Apartment,United States,Apartment,145.00,Entire home/apt,2.0,2.0,4,moderate,18,4,0.00,30,4,7.0,2019-03-06,Sam,1,2019-03-06,0,-73.95549,40.67838
896,"L'IDÉAL, ( à 2 min du métro Pie-IX ).",Canada,Apartment,85.00,Entire home/apt,1.0,2.0,4,moderate,150,1,15.00,30,2,10.0,2019-03-11,William,1,2019-03-11,103,-73.55208,45.55157
897,Voted “Best of Williamsburg” / 1000 sqft Loft,United States,Loft,249.00,Entire home/apt,0.0,1.0,3,moderate,38,2,0.00,1125,1,10.0,2019-03-07,Logan,1,2019-03-07,38,-73.96392,40.71865
898,100 steps to Poipu Beach! - Hale Kahana'lu,United States,Condominium,259.00,Entire home/apt,2.0,2.0,4,strict_14_with_grace_period,29,3,0.00,60,4,10.0,2019-03-06,Kahea,104,2019-03-06,288,-159.45065,21.8732
899,Wan Chai Fully Furnished Studio,Hong Kong,Apartment,322.00,Private room,1.0,1.0,1,strict_14_with_grace_period,32,2,0.00,1125,1,9.0,2019-03-11,Stephen,1,2019-03-11,305,114.17694,22.27757
900,Apartment is Sold.,Turkey,Apartment,1055.00,Entire home/apt,3.0,6.0,6,flexible,0,1,0.00,1125,1,0.0,2019-02-18,Ali,1,2019-02-18,365,28.58381,41.02525
901,Hyatt Kaanapali Beach FANTASTIC OFFER!,United States,Condominium,500.00,Entire home/apt,2.0,2.0,6,super_strict_60,1,5,0.00,7,1,10.0,2019-03-06,Tami,13,2019-03-06,0,-156.69406,20.91573
902,BARRA 3: Excelente quarto perto do Rio Centro.,Brazil,Apartment,250.00,Private room,1.0,1.0,1,strict_14_with_grace_period,0,7,0.00,1125,1,0.0,2019-02-11,Lycia,4,2019-02-11,364,-43.418436471189274,-22.9703870513959
903,"Large Studio with Harbour glimpses, City Fringe",Australia,Apartment,171.00,Entire home/apt,0.0,1.0,4,strict_14_with_grace_period,4,3,10.00,1125,2,8.0,2019-03-07,Andrea,33,2019-03-07,133,151.21345,-33.87552
904,Spacious Comtemporary 3BR Apartment,United States,Apartment,218.00,Entire home/apt,3.0,4.0,6,moderate,101,2,15.00,1125,6,8.0,2019-03-07,Saif,1,2019-03-07,253,-73.98625,40.67124
905,Spacious Studio - Waimea Bay Pointe,United States,Guest suite,199.00,Entire home/apt,0.0,2.0,2,strict_14_with_grace_period,76,3,50.00,13,2,10.0,2019-03-06,Melissa,2,2019-03-06,234,-158.06438,21.64361
906,BEACH ESCAPE,Australia,House,689.00,Entire home/apt,7.0,8.0,14,strict_14_with_grace_period,72,2,60.00,1125,4,9.0,2019-03-07,Bailey,2,2019-03-07,306,151.31642,-33.62564
907,Chic 2BR in The Village by Sonder,Canada,Apartment,94.00,Entire home/apt,2.0,3.0,6,strict_14_with_grace_period,20,2,7.00,1124,4,10.0,2019-03-11,Sonder,1198,2019-03-11,106,-73.55553,45.52006
908,Best location near the beach at Posto 9,Brazil,Apartment,116.00,Private room,1.0,1.0,2,strict_14_with_grace_period,116,1,30.00,365,1,10.0,2019-02-11,Vitor & Carlos,37,2019-02-11,302,-43.20070227223089,-22.98521721608299
909,"1Great location, calm cozy room w/ backyard-garden",Canada,Apartment,25.00,Private room,1.0,1.0,1,flexible,5,28,0.00,365,1,10.0,2019-03-11,Ila,1,2019-03-11,272,-73.5571,45.52621
910,"Achei! Loft  na praia, moderno e equipado.",Brazil,Loft,276.00,Entire home/apt,1.0,2.0,4,strict_14_with_grace_period,22,2,50.00,90,2,10.0,2019-02-11,Vera,2,2019-02-11,113,-43.30223274973709,-23.015724648126966
911,Ladder up to your own loft bed,United States,Loft,115.00,Private room,1.0,1.0,1,strict_14_with_grace_period,16,1,0.00,1125,1,9.0,2019-03-07,Danika,2,2019-03-07,337,-73.9664,40.71424
912,Elegant Flat in the Center,Turkey,Apartment,190.00,Entire home/apt,1.0,1.0,2,moderate,3,2,0.00,7,1,10.0,2019-02-18,Pelin,7,2019-02-18,361,28.98158,41.0314
913,"Great Apartment in Flamengo with Magnificent View, Sugar Loaf!",Brazil,Apartment,459.00,Entire home/apt,3.0,2.0,5,moderate,0,30,0.00,365,1,0.0,2019-02-11,Maria Jose,1,2019-02-11,83,-43.176782067626476,-22.93408989604882
914,Private Apartment between the ocean and mountains,United States,Guest suite,130.00,Entire home/apt,1.0,1.0,2,moderate,71,2,25.00,14,2,10.0,2019-03-06,Kelly,1,2019-03-06,75,-158.17481,21.57958
915,AMAZING BOSPHORUS VIEW ECONOMIC ORTAKOY BESIKTAS,Turkey,Apartment,596.00,Private room,1.0,1.0,2,flexible,0,1,0.00,1125,1,0.0,2019-02-18,Orçun,1,2019-02-18,179,29.01933,41.05115
916,Room at Copacabana beach! 3 min to beach,Brazil,Apartment,60.00,Private room,1.0,2.0,2,moderate,69,3,73.00,1125,1,9.0,2019-02-11,Lereno,4,2019-02-11,175,-43.18364483691549,-22.965623291833747
917,Estúdio 428 near the beach,Portugal,Apartment,100.00,Entire home/apt,1.0,1.0,2,moderate,5,2,0.00,1125,1,10.0,2019-02-16,Inês,1,2019-02-16,334,-8.64026,41.00943
918,PALM TREE HOUSE steps to beach,United States,House,200.00,Entire home/apt,2.0,2.0,4,strict_14_with_grace_period,38,5,0.00,1125,2,10.0,2019-03-06,Nina,2,2019-03-06,169,-158.14192,21.58147
919,At Home in Authentic Porto,Portugal,Apartment,50.00,Entire home/apt,1.0,1.0,4,strict_14_with_grace_period,124,2,11.00,1125,2,8.0,2019-02-16,David,5,2019-02-16,349,-8.62077,41.15129
920,Botafogo's Green Gem,Brazil,Apartment,131.00,Entire home/apt,1.0,1.0,4,moderate,8,5,35.00,99,1,9.0,2019-02-11,Iohanna,1,2019-02-11,340,-43.184717879371945,-22.957738202813633
921,Seaview Studio in  Brooklyn New york.,United States,Apartment,100.00,Entire home/apt,1.0,1.0,2,flexible,145,2,0.00,14,1,10.0,2019-03-06,Natasha,1,2019-03-06,315,-73.89367,40.63241
922,Kailua Cottage,United States,Guest suite,142.00,Entire home/apt,1.0,1.0,3,strict_14_with_grace_period,70,3,15.00,1125,2,10.0,2019-03-06,Laura,1,2019-03-06,229,-157.74532,21.4094
