,name,country,property_type,price,room_type,bedrooms,beds,accommodates,cancellation_policy,number_of_reviews,minimum_nights,extra_people,maximum_nights,guests_include,review_scores_cleanliness,last_scraped,host_name,host_listings_count,calendar_last_scraped,availability_365,latitude,longitude
4218,Estúdio em Botafogo,Brazil,Apartment,466.00,Entire home/apt,1.0,2.0,4,strict_14_with_grace_period,0,4,0.00,1125,1,0.0,2019-02-11,Lucas Guilherme,1,2019-02-11,10,-43.18612140980205,-22.956530256713208
4219,Logement impeccable et tranquille,Canada,Condominium,66.00,Entire home/apt,2.0,2.0,4,moderate,0,5,0.00,10,1,0.0,2019-03-11,Normand,2,2019-03-11,20,-73.62825,45.54149
4220,"Center of Kadikoy, Moda",Turkey,Apartment,179.00,Entire home/apt,1.0,2.0,3,moderate,0,2,89.00,9,2,0.0,2019-02-18,Aras A.,1,2019-02-18,56,29.02917,40.98537
4221,Ev,Turkey,Apartment,90.00,Private room,2.0,2.0,2,flexible,0,1,0.00,1125,1,0.0,2019-02-18,Levent,1,2019-02-18,365,29.06524,40.98906
4222,"*PARKING* Classy, Comfy and Clean Apt near Dtown!",Canada,Apartment,79.00,Entire home/apt,2.0,2.0,4,moderate,5,1,0.00,1125,1,8.0,2019-03-11,Julieta,12,2019-03-11,78,-73.54336,45.54017
4223,Room “Elegance” in Barcelona centrum.,Spain,Apartment,55.00,Private room,0.0,1.0,2,flexible,4,1,10.00,30,1,10.0,2019-03-08,Nerea,2,2019-03-08,106,2.15104,41.38667
4224,Private roon / Quarto individual,Brazil,Apartment,399.00,Private room,1.0,1.0,2,strict_14_with_grace_period,0,10,0.00,30,1,0.0,2019-02-11,Mathieu,1,2019-02-11,0,-43.181862794887444,-22.96502572399953
4225,Cozy room with a private bathroom!,Canada,House,50.00,Private room,1.0,1.0,1,moderate,2,7,0.00,180,1,10.0,2019-03-11,Ayca,2,2019-03-11,358,-73.89066,45.42057
4226,OPORTO GUEST Luxury Apartments 2,Portugal,Apartment,75.00,Entire home/apt,1.0,2.0,4,flexible,0,2,0.00,1125,1,0.0,2019-02-16,Oporto Guest,34,2019-02-16,362,-8.60728,41.16147
4227,Sheung Wan Room in Flat Share(Sw21e),Hong Kong,Apartment,173.00,Shared room,1.0,1.0,1,flexible,0,29,0.00,1125,1,0.0,2019-03-11,Jov,229,2019-03-11,365,114.15162,22.28611
4228,Hennessy Cozy washer Wifi MTR #SA,Hong Kong,Apartment,801.00,Entire home/apt,0.0,1.0,2,strict_14_with_grace_period,24,7,392.00,365,2,10.0,2019-03-11,Celine,4,2019-03-11,340,114.17423,22.27634
4229,3+1 evimiz metrobüse 10 dakika yürüme mesafesi,Turkey,Apartment,100.00,Private room,1.0,2.0,2,flexible,0,1,0.00,7,1,0.0,2019-02-18,Murat,1,2019-02-18,89,28.69462,41.01049
4230,Green Flash Guest House / Ohana,United States,Guest suite,89.00,Entire home/apt,1.0,1.0,2,moderate,48,3,0.00,60,2,10.0,2019-03-06,Jean,1,2019-03-06,356,-155.6971,20.02342
4231,Manly Harbour View,Australia,Apartment,399.00,Entire home/apt,3.0,4.0,6,flexible,1,2,0.00,1125,5,4.0,2019-03-07,Robert,1,2019-03-07,357,151.28526,-33.80705
4232,Quarto confortável e aconchegante para  férias!,Brazil,Apartment,78.00,Shared room,1.0,3.0,1,flexible,0,1,0.00,7,1,0.0,2019-02-11,Emanuel,3,2019-02-11,362,-43.206200975012464,-22.915819208930998
4233,"Cozy room in Trinitat Vella, 15 min center BCN",Spain,Apartment,25.00,Private room,1.0,2.0,2,flexible,6,1,0.00,1125,1,9.0,2019-03-08,Monica,1,2019-03-08,131,2.1894,41.45179
4234,Sessiz ve güvenli bir ev,Turkey,Serviced apartment,58.00,Shared room,1.0,2.0,2,flexible,0,1,0.00,6,1,0.0,2019-02-18,Yunus,2,2019-02-18,179,29.08142,41.00681
4235,Casinha Aconchegante na área mais boêmia do RJ,Brazil,Tiny house,127.00,Entire home/apt,1.0,1.0,4,flexible,0,1,0.00,5,1,0.0,2019-02-11,Sol,1,2019-02-11,24,-43.17837180976206,-22.916072714239732
4236,Kactus Hotel & Service Apartment Type 3,Hong Kong,Boutique hotel,447.00,Private room,1.0,1.0,2,strict_14_with_grace_period,5,1,0.00,1125,1,9.0,2019-03-11,Jaehwan,18,2019-03-11,86,114.16118,22.32736
4237,"Depto. en Copacabana, wifi, una cuadra de la playa",Brazil,Apartment,1119.00,Entire home/apt,2.0,2.0,4,flexible,0,5,0.00,1125,1,0.0,2019-02-11,Su&Rosa,2,2019-02-11,179,-43.18034743148759,-22.965736374477085
